website,loc,lastmod,cured_name,type
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/30/maintaining-your-larger-databases-better-part-2-2/,2021-06-20,maintaining your larger databases better part 2 2,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/29/maintaining-your-larger-databases-better-part-1/,2021-06-20,maintaining your larger databases better part 1,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/12/maintaining-your-larger-databases-better-part-3-recommended-sql-server-dmvs/,2021-06-20,maintaining your larger databases better part 3 recommended sql server dmvs,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/18/updates-about-what-linux-distributions-you-can-install-sql-server-on/,2021-06-29,updates about what linux distributions you can install sql server on,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/11/06/personal-2019-pass-election-vote-for-johan/,2021-06-29,personal 2019 pass election vote for johan,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/11/04/sql-server-2019-officially-released/,2021-06-29,sql server 2019 officially released,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/23/more-about-sql-server-professionals-using-version-control/,2021-06-29,more about sql server professionals using version control,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/29/azure-related-topics-at-data-community-weekender-europe/,2021-06-29,azure related topics at data community weekender europe,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/17/using-version-control-with-an-azure-data-studio-notebook/,2021-06-29,using version control with an azure data studio notebook,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/23/personal-working-from-home-again-thoughts-and-tips/,2021-06-29,personal working from home again thoughts and tips,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/01/current-sql-server-2019-learning-resources/,2021-06-29,current sql server 2019 learning resources,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/12/05/maintaining-larger-sql-server-databases-recap/,2021-06-29,maintaining larger sql server databases recap,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/02/24/tips-for-dealing-with-large-sql-server-scripts/,2021-06-29,tips for dealing with large sql server scripts,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/01/08/lessons-learned-by-a-time-travelling-sql-server-dba-part-one-the-past/,2021-06-29,lessons learned by a time travelling sql server dba part one the past,blog
